user_id,tier,crawled
20376691,SILVER,0
20385720,SILVER,0
20395014,SILVER,0
20405172,SILVER,0
20415950,SILVER,0
20431952,SILVER,0
20433307,SILVER,0
20434578,SILVER,0
20445329,SILVER,0
20458163,SILVER,0
20474929,SILVER,0
20480927,GOLD,0
20482575,SILVER,0
20487837,SILVER,0
20488663,SILVER,0
20498559,SILVER,0
20500199,SILVER,0
20518548,SILVER,0
20544131,SILVER,0
20549811,BRONZE,0
20550778,SILVER,0
20576005,SILVER,0
20599868,SILVER,0
20606863,SILVER,0
20610658,BRONZE,0
20622897,SILVER,0
20629613,SILVER,0
20642665,SILVER,0
20649407,SILVER,0
20656352,BRONZE,0
20680130,SILVER,0
20687205,SILVER,0
20690177,SILVER,0
20721725,SILVER,0
20725754,SILVER,0
20735227,SILVER,0
20741463,SILVER,0
20753111,SILVER,0
20756556,SILVER,0
20759278,SILVER,0
20768056,SILVER,0
20782350,SILVER,0
20793500,SILVER,0
20800939,SILVER,0
20810431,SILVER,0
20810719,BRONZE,0
20815498,SILVER,0
20819549,SILVER,0
20825519,SILVER,0
20834424,SILVER,0
20865948,SILVER,0
20877988,SILVER,0
20878985,SILVER,0
20881180,SILVER,0
20912033,SILVER,0
20915378,SILVER,0
20920625,SILVER,0
20926209,SILVER,0
20929633,SILVER,0
20934182,SILVER,0
20935375,SILVER,0
20945645,SILVER,0
20948215,SILVER,0
20948709,SILVER,0
20954806,SILVER,0
20994707,SILVER,0
20996908,SILVER,0
20999168,SILVER,0
21002713,BRONZE,0
21003791,SILVER,0
21017215,SILVER,0
21029973,SILVER,0
21035822,SILVER,0
21036008,SILVER,0
21037789,SILVER,0
21038357,SILVER,0
21041873,SILVER,0
21063180,SILVER,0
21082136,SILVER,0
21088329,SILVER,0
21089302,SILVER,0
21092888,SILVER,0
21093815,SILVER,0
21098921,SILVER,0
21105429,SILVER,0
21112440,SILVER,0
21114931,SILVER,0
21125143,BRONZE,0
21126598,SILVER,0
21130699,SILVER,0
21151538,BRONZE,0
21154059,SILVER,0
21172668,SILVER,0
21174833,SILVER,0
21177635,SILVER,0
21179318,SILVER,0
21180475,SILVER,0
21217566,SILVER,0
21256579,SILVER,0
21276944,SILVER,0
21283382,SILVER,0
21283519,SILVER,0
21298721,BRONZE,0
